sy;NtWaitForSingleObject;GetLastInputInfo;InSendMessageEx;memcpy_s;LdrLockLoaderLock;RtlDestroyProcessParameters;RtlCreateProcessParametersEx;RtlGetOwnerSecurityDescriptor;LockWindowUpdate;CsrClientCallServer;GetStringTypeW;RtlMoveMemory;RtlReAllocateHeap;RtlDosPathNameToNtPathName_U;NtOpenMutant
0;100;646;1;1203;0;0;0;1;6;0;0;0;24;0;3
0;6;1351;2;207;0;0;0;1;2;0;0;0;30;0;3
0;187;25916;0;0;0;0;0;32;0;0;0;0;0;86;0
0;2602;1816;4;2616;0;0;0;1;0;4;0;0;62;0;3
0;68;4554;1;369;0;0;0;0;0;0;0;0;24;0;3
0;6;0;0;121;0;0;0;9;0;0;0;0;18;9;3
0;1567;0;1;971;0;0;0;0;0;0;0;0;40;0;3
0;9;6;0;181;0;0;0;8;0;0;0;0;20;25;3
0;9;1941;1;204;0;0;0;0;0;0;0;0;18;99;3
0;9;1268;8;326;0;0;0;0;0;0;0;0;38;0;3
0;9;177;0;85;0;0;0;0;3;0;0;0;18;14;3
0;977;1541;5;483;141;0;0;4;0;0;0;0;239;0;13
0;572;1006;21;268;0;0;0;9;8;0;0;0;123;0;7
0;231;2172;10;354;0;0;0;0;2;0;0;0;71;0;3
0;13;0;11;288;0;0;0;0;27;0;0;0;26;0;3
0;9689;2669;28;221;0;0;0;0;4;41;0;0;116;7;5
0;8442;1368;0;113;0;0;0;1;18;99;0;0;110;4;8
0;9;0;5;283;0;0;0;0;2;0;0;0;19;0;3
0;36;0;0;2275;0;0;0;1;0;0;0;0;3;0;0
0;45;452;0;137;0;1;0;3;8;0;0;0;160;0;3
0;10657;4987;134;743;1;0;0;5;2;0;0;0;188;0;17
0;10755;2619;66;538;1;0;0;6;0;0;0;0;176;0;17
0;728;3654;0;1735;0;0;0;1;0;0;0;0;50;0;3
0;18;1143;16;532;0;0;0;1;12;0;0;0;24;0;3
0;10;1565;4;193;0;0;0;0;0;2;0;0;20;29;3
0;27;1012;18;443;0;1;0;1;8;0;0;0;35;0;3
0;65;879;6;302;0;0;0;0;5;0;0;0;105;0;3
0;626;46;1;1778;0;0;0;4;4;0;0;0;36;0;3
0;191;9;9;2383;0;0;0;1;45;1;0;0;40;0;3
0;11377;743;1;81;0;0;0;1;30;0;0;0;31;4;3
0;194;8470;9;246;0;0;0;0;0;0;0;0;0;0;0
0;127;7473;0;160;0;2;0;11;44;5;0;0;1;0;0
0;555;0;1;568;0;0;0;1;73;0;0;0;3;0;1
0;55;1795;0;2450;1;0;0;2;0;0;0;0;24;0;3
0;7186;0;4;914;0;0;0;0;0;0;0;0;41;17;3
0;19;0;4;265;0;0;0;0;3;0;0;0;74;58;3
0;38;913;0;2337;0;0;0;1;0;0;0;0;24;0;3
0;92;4114;0;43;0;0;0;13;0;0;0;0;1;0;1
0;468;873;19;1131;1;0;0;50;1;0;0;0;167;50;3
0;215;6108;13;233;0;0;0;0;2;0;0;0;1;0;0
0;21232;795;7;8214;0;0;0;1;16;0;0;0;43;0;3
0;11152;3073;28;680;1;0;0;11;3;0;0;0;178;0;7
0;8;224;2;141;0;0;0;0;3;0;0;0;32;0;3
0;38;10631;63;372;0;0;0;0;1;0;0;0;98;0;3
0;49;796;2;2826;0;1;0;2;0;0;0;0;20;0;4
0;49;829;0;2578;0;1;0;2;0;0;0;0;18;0;4
0;40;3617;10;274;0;0;0;0;0;0;0;0;0;0;0
0;10913;7619;215;1323;243;0;0;47;2;0;0;0;634;0;21
0;17;0;1;158;0;0;0;0;0;0;0;0;19;0;5
0;3747;1392;35;358;0;0;0;1;2;0;0;0;184;0;3
0;0;6;0;0;0;0;0;0;0;0;0;0;0;10;0
0;10723;0;36;692;0;1;0;5;2;0;0;0;74;0;7
0;10661;1762;0;190;0;0;0;1;0;0;0;0;60;0;3
0;10661;1762;0;190;0;0;0;1;0;0;0;0;60;0;3
0;11;833;30;176;0;0;0;0;14;0;0;0;21;0;3
0;10709;2280;75;561;1;0;0;11;2;0;0;0;355;0;17
0;1176;8890;0;17;0;0;0;0;0;0;0;0;0;0;0
0;1686;3823;26;345;0;0;0;0;0;0;0;0;15;0;0
0;9203;81;2;991;0;0;0;2;8;0;0;0;56;0;3
0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0
0;185;0;0;4061;0;0;0;1;46;5;0;0;158;0;3
0;10749;1241;76;543;1;0;0;6;8;0;0;0;181;0;17
0;50;1362;6;1353;0;0;0;0;0;0;0;0;0;12;0
0;103;451;2;192;0;1;0;1;11;0;0;0;18;0;3
0;30;1254;243;87459;0;0;0;1;1;0;0;0;40;0;3
0;11;2241;16;378;0;0;0;1;2;0;0;0;50;0;3
0;44;1842;1;2713;0;0;0;1;0;0;0;0;187;0;3
0;9;3134;70;343;0;0;0;0;2;0;0;0;19;0;3
0;622;691;1;275;0;1;0;3;2;0;0;0;54;0;6
0;762;1687;10;226;0;0;0;1;4;0;0;0;172;0;10
0;244;0;1;2351;0;0;0;1;45;0;0;0;108;0;5
0;192;5;0;72;0;0;0;1;0;4;0;0;24;0;14
0;14698;2322;2;218;0;1;0;19;4;9;0;0;31;452;4
0;6120;41;1;90;1;0;0;1;4;0;0;0;38;0;3
0;809;1362;6;1353;0;0;0;4;0;0;0;0;62;0;0
0;295;1;0;3176;0;0;0;1;46;0;0;0;47;0;5
0;10625;32;2;189;0;0;0;1;12;10;0;0;29;0;5
0;8186;3494;38;1864;0;0;0;1;7;9;0;0;251;0;19
0;22;210;0;81;0;0;0;0;5;1;0;0;18;1;3
0;14;86;3;135;0;1;0;4;16;0;0;0;70;0;6
0;3477;2728;0;155;0;1;0;0;5;5;0;0;18;0;3
0;45321;1081;10;115;0;0;0;0;0;0;0;0;105;0;3
0;887;0;1;322;0;1;0;0;12;0;0;0;42;0;6
0;204;163;0;198;0;0;0;21;12;0;0;0;27;0;3
0;6206;32;1;60;0;0;0;2;0;0;0;0;0;4;0
0;861;270;0;923;0;1;0;5;2;0;0;0;80;0;4
0;195;4709;26;505;0;0;0;1;7;0;0;0;156;0;6
0;53;2719;9;2795;0;4;0;1;15;0;0;0;50;0;7
0;11764;3357;74;3556;0;1;0;103;0;1;0;0;266;0;17
0;17786;4073;82;680;1;0;0;6;0;0;0;0;514;0;22
0;3837;0;0;912;0;0;0;0;57;0;0;0;45;0;3
0;5;5503;0;35;0;0;0;7;2;0;0;0;1900;0;3
0;3413;1878;1;72;0;0;0;11;1;0;0;0;691;0;3
0;7;7451;1;71;0;0;0;0;4;0;0;0;2552;0;3
0;683;0;2;86;0;0;0;0;4;0;0;0;37;0;6
0;12494;7812;2;1024;0;0;0;0;0;0;0;0;67;0;3
0;122;3680;0;2456;0;0;0;2;0;5;0;0;19;0;3
0;115;1980;1;2684;0;0;0;1;8;1;0;0;22;0;4
0;723;0;0;871;0;0;0;0;2;0;0;0;40;0;3
0;75;708;3;235;0;0;0;0;0;0;0;0;144;0;3
0;8;281;1;2496;0;0;0;0;0;0;0;0;18;0;3
0;10651;8846;68;407;1;0;0;6;0;0;0;0;182;0;17
0;836;304;4;849;0;1;0;2;3;3;0;0;45;0;4
0;665;2635;22;1012;0;0;0;2;0;0;0;0;112;0;3
0;9;3134;70;343;0;0;0;0;2;0;0;0;19;0;3
0;539;1;0;2897;0;0;0;1;45;0;0;0;171;0;5
0;25;258;0;170;0;0;0;0;1;0;0;0;58;0;3
0;44;362;2;231;0;1;0;3;2;0;0;0;116;0;3
0;64;1124;11;120;0;4;0;0;13;10;0;0;110;0;3
0;121;485;0;80;0;0;0;135;102;0;0;0;26;0;3
0;643;0;1;3064;0;0;0;1;46;1;0;0;89;0;3
0;2;0;0;10;0;1;0;6;1;0;0;0;0;11;0
0;0;2876;19;762;0;0;0;0;0;0;0;0;87;0;0
0;8;202;0;126;0;0;0;0;1;0;0;0;28;0;3
0;13;0;2;145;0;0;0;0;4;0;0;0;19;65;3
0;76;6079;0;2494;0;0;0;1;0;1;0;0;22;0;3
0;9;991;0;78;0;0;0;0;0;0;0;0;18;49;3
0;9;0;0;85;0;0;0;0;3;0;0;0;18;23;3
0;8137;919;4;187;0;0;0;0;0;0;0;0;18;0;3
0;9594;1910;2;242;0;0;0;0;6;0;0;0;18;0;3
0;11;475;0;71;0;0;0;0;13;0;0;0;18;0;3
0;10746;0;25;745;0;0;0;5;1;0;0;0;83;0;7
0;0;2876;19;762;0;0;0;0;0;0;0;0;87;0;0
0;15;374;2;113;0;0;0;0;2;11;0;0;24;0;3
0;162;5;0;153;0;12;0;0;11;0;0;0;0;0;0
0;10821;1036;3;227;0;18;0;1;12;0;0;0;24;0;3
0;675;2213;13;294;0;0;0;0;0;0;0;0;120;0;5
0;1264;814;0;109;0;3;0;2;1;0;0;0;20;0;4
0;8210;9;3;85;0;0;0;1;1;5;0;0;20;0;3
0;405;4150;5;1607;0;0;0;1;0;0;0;0;43;0;7
0;9027;2516;8;174;0;0;0;1;1;0;0;0;76;0;3
0;3386;16;0;38;0;0;0;1;2;0;0;0;17;0;3
0;574;3007;0;95;0;0;0;0;5;0;0;0;18;0;3
0;2;134;0;18;0;0;0;0;0;0;0;0;0;0;0
0;2;127;0;18;0;0;0;0;0;0;0;0;0;0;0
0;22;559;0;209;0;0;0;1;0;0;0;0;1;0;0
0;47;3249;45;185;0;0;0;0;2;0;0;0;0;0;3
0;2951;0;0;33;0;0;0;0;0;2;0;0;16;0;3
0;17;284;0;2815;0;0;0;1;12;7;0;0;19;0;3
0;8;0;0;227;0;0;0;1;7;0;0;0;25;0;3
