sy;NtWaitForSingleObject;GetLastInputInfo;InSendMessageEx;memcpy_s;LdrLockLoaderLock;RtlDestroyProcessParameters;RtlCreateProcessParametersEx;RtlGetOwnerSecurityDescriptor;LockWindowUpdate;CsrClientCallServer;GetStringTypeW;RtlMoveMemory;RtlReAllocateHeap;RtlDosPathNameToNtPathName_U;NtOpenMutant
1;1;0;0;0;0;1;1;11;0;1;0;0;0;323;0
1;0;0;0;0;0;1;1;8;0;2;0;0;1;9;1
1;14;0;2;0;13;0;0;21;0;3;0;0;30;0;3
1;0;0;0;0;1;0;0;6;0;1;0;0;0;0;0
1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
1;0;0;0;0;0;0;0;5;0;1;0;0;0;763;0
1;1;0;0;0;0;1;1;4;0;1;0;0;0;5;0
1;1;0;0;0;0;1;1;4;0;1;0;0;0;5;0
1;0;0;0;0;0;0;0;13;0;0;0;0;0;14;0
1;16;0;0;0;0;7;7;19;0;6;0;0;0;0;0
1;0;0;0;0;0;1;1;13;0;1;0;0;0;15;0
1;0;0;0;0;0;0;0;13;0;0;0;0;0;14;0
1;5;0;0;0;0;1;1;18;0;2;0;0;1;18;0
1;0;0;0;0;0;0;0;12;0;1;0;0;0;13;0
1;0;0;0;0;1;0;0;13;0;0;0;0;0;13;0
1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
1;5;0;0;0;0;1;1;13;0;2;0;0;0;13;0
1;7;0;0;33;4;2;2;12;0;2;1;1;5;0;1
1;0;0;0;0;0;0;0;18;0;1;0;0;2;18;0
1;8;0;0;0;22;1;1;30;0;2;0;0;32;1;0
1;0;0;0;0;1;0;0;4;0;0;0;0;0;4;0
1;1;0;0;0;26;1;1;10;0;2;0;0;12;0;1
1;2;0;0;0;0;2;2;6;0;1;2;0;0;10;0
1;0;0;0;0;0;1;1;1;0;1;0;0;0;2;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;34;0;0;3;1;1;1;20;0;2;0;2;0;0;0
1;9;0;0;0;0;0;0;11;0;0;0;0;0;16;2
1;1;0;0;0;30;1;1;10;0;2;0;0;12;11;1
1;0;0;0;0;73;2;2;10;0;2;2;0;0;12;0
1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
1;0;0;0;0;2;2;2;6;0;5;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;1;0;0;0;16;0
1;26;0;0;3;0;1;1;18;0;2;0;2;0;21;0
1;0;0;0;0;0;1;1;4;0;1;0;0;0;5;0
1;1;0;0;0;40;0;0;8;0;1;0;0;0;8;0
1;5;0;0;0;0;1;1;12;0;2;0;0;0;12;0
1;1;0;0;0;0;1;1;5;0;1;0;0;0;7;0
1;85;0;0;3;2;2;2;19;0;1;0;0;3;0;0
1;0;0;0;0;0;1;1;5;0;1;0;0;0;6;0
1;1;0;0;0;0;1;1;5;0;1;0;0;0;7;0
1;5;0;0;0;0;1;1;17;0;2;0;0;1;17;0
1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0
1;7;0;0;32;1;2;2;13;0;2;0;1;5;0;1
1;6;0;0;32;1;1;1;21;0;4;0;1;5;0;1
1;6;0;0;32;1;1;1;21;0;4;0;1;5;0;1
1;0;0;0;0;0;0;0;18;0;1;0;0;2;18;0
1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
1;0;0;0;0;1;0;0;0;0;1;4;0;0;0;0
1;55;0;0;0;10;4;4;7;0;6;0;0;5;24;1
1;389;0;3;0;9;0;0;30;0;3;0;0;6;0;3
1;2;0;0;0;44;0;0;3;0;0;0;0;0;3;0
1;1;0;0;0;30;1;1;10;0;2;0;0;12;11;1
1;46;0;0;0;0;7;7;29;0;6;0;0;0;0;0
1;16;0;0;0;0;7;7;14;0;6;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1;2;0;0;0;0;0;0;20;0;1;0;0;0;23;0
1;3;0;0;0;0;1;1;13;0;2;0;0;0;20;10
1;16;0;0;0;0;7;7;19;0;7;0;0;0;0;0
1;10;0;0;0;0;0;0;30;0;4;0;0;579;0;0
1;1;0;0;0;1;0;0;1;0;0;2;0;0;1;0
1;5;0;0;44;0;7;7;36;0;8;0;1;5;0;1
1;0;0;0;0;0;1;1;17;0;1;0;0;0;18;0
